,Wijken en buurten,Soort misdrijf,Maand,Teststat,Totaal gemiddelde,Percentage verschil,P
0,Rubroek,Melding overlast jeugd,januari,-0.09246477235574316,0.17047695761208873,-0.542388682030224,0.014
5,Rubroek,Melding overlast jeugd,juni,0.07989298205151069,0.15529342034846244,0.5144646944618714,0.045
6,Rubroek,Melding overlast jeugd,juli,0.15122265812256608,0.14906427685569262,1.0144795340131223,0.0
11,Rubroek,Melding overlast jeugd,december,-0.09331912680077306,0.1695713095045688,-0.5503237963628437,0.019
31,Rubroek,1.4.5 Mishandeling,augustus,0.061591136174006036,0.08034434769696175,0.7665895354121484,0.001
41,Rubroek,2.2.1 Vernieling cq. zaakbeschadiging,juni,0.051983135123965296,0.14565148102891196,0.35690083449028975,0.029
48,Rubroek,Overlast zwervers,januari,0.031924563807690653,0.04315507012900667,0.7397639191004943,0.026
55,Rubroek,Overlast zwervers,augustus,0.05653369207318038,0.04140767361012076,1.3652950563096247,0.0
56,Rubroek,Overlast zwervers,september,-0.03462245166360851,0.048539371064398845,-0.7132859553881263,0.017
72,Rubroek,1.2.1 Diefstal uit/vanaf motorvoertuigen,januari,0.09338861706174165,0.1910414509096955,0.4888395508778147,0.023
78,Rubroek,1.2.1 Diefstal uit/vanaf motorvoertuigen,juli,-0.08425400447118182,0.20744856993083005,-0.40614406018453053,0.033
93,Rubroek,"1.2.3 Diefstal van brom-, snor-, fietsen",oktober,0.0782633487305345,0.22818826417269142,0.34297709838094614,0.041
97,Rubroek,3.1.1 Drugshandel,februari,0.02208550626236944,0.026167964404894318,0.8439902286873595,0.043
110,Rubroek,Openbare dronkenschap,maart,-0.020452476097157928,0.026317578736454104,-0.7771412523154321,0.039
117,Rubroek,Openbare dronkenschap,oktober,0.01887565118933305,0.023059832681634678,0.8185510905448157,0.049
121,Rubroek,Overlast ivm alcohol/ drugs,februari,-0.029578550080496688,0.05730441230997401,-0.5161653158660603,0.037
125,Rubroek,Overlast ivm alcohol/ drugs,juni,-0.03497802793548066,0.05746861592245349,-0.608645734267883,0.013
126,Rubroek,Overlast ivm alcohol/ drugs,juli,0.04034519776663825,0.050868690078923647,0.7931243699030186,0.005
134,Rubroek,Overlast door verward persoon,maart,0.060207690109808365,0.16194097254566742,0.37178787531876645,0.049
