,Datum,Wijken en buurten,Soort misdrijf,Perioden,Geregistreerde misdrijven (aantal)
625,2012-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 april,241.0
626,2012-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 augustus,180.0
627,2012-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 december,189.0
628,2012-02-29,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 februari,223.0
629,2012-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 januari,240.0
630,2012-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 juli,240.0
631,2012-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 juni,228.0
632,2012-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 maart,216.0
633,2012-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 mei,228.0
634,2012-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 november,229.0
635,2012-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 oktober,238.0
636,2012-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 september,239.0
637,2013-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 april,331.0
638,2013-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 augustus,155.0
639,2013-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 december,222.0
640,2013-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 februari,244.0
641,2013-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 januari,234.0
642,2013-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 juli,249.0
643,2013-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 juni,283.0
644,2013-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 maart,267.0
645,2013-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 mei,209.0
646,2013-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 november,247.0
647,2013-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 oktober,244.0
648,2013-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 september,190.0
649,2014-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014  februari,242.0
650,2014-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 april,209.0
651,2014-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 augustus,156.0
652,2014-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 december,179.0
653,2014-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 januari,242.0
654,2014-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 juli,239.0
655,2014-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 juni,177.0
656,2014-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 maart,272.0
657,2014-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 mei,199.0
658,2014-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 november,203.0
659,2014-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 oktober,248.0
660,2014-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 september ,175.0
661,2015-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015  februari,235.0
662,2015-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 april,171.0
663,2015-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 augustus,126.0
664,2015-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 december,154.0
665,2015-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 januari,231.0
666,2015-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 juli,142.0
667,2015-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 juni,193.0
668,2015-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 maart,190.0
669,2015-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 mei,163.0
670,2015-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 november,170.0
671,2015-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 oktober,184.0
672,2015-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 september,171.0
673,2016-02-29,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016  februari,171.0
674,2016-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 april,161.0
675,2016-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 augustus,122.0
676,2016-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 december,167.0
677,2016-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 januari,158.0
678,2016-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 juli,131.0
679,2016-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 juni,131.0
680,2016-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 maart,209.0
681,2016-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 mei,147.0
682,2016-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 november,204.0
683,2016-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 oktober,139.0
684,2016-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 september,132.0
685,2017-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 april,112.0
686,2017-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 augustus,106.0
687,2017-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 december,110.0
688,2017-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 februari,182.0
689,2017-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 januari,160.0
690,2017-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 juli,112.0
691,2017-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 juni,130.0
692,2017-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 maart,205.0
693,2017-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 mei,144.0
694,2017-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 november,113.0
695,2017-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 oktober,138.0
696,2017-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 september,102.0
697,2018-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 april,91.0
698,2018-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 augustus,81.0
699,2018-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 december,72.0
700,2018-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 februari,85.0
701,2018-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 januari ,99.0
702,2018-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 juli,67.0
703,2018-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 juni,89.0
704,2018-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 maart,80.0
705,2018-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 mei,97.0
706,2018-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 november,77.0
707,2018-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 oktober,96.0
708,2018-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 september,90.0
709,2019-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 april,66.0
710,2019-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 augustus,54.0
711,2019-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 december,63.0
712,2019-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 februari,55.0
713,2019-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 januari,70.0
714,2019-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 juli,78.0
715,2019-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 juni,74.0
716,2019-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 maart,81.0
717,2019-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 mei,70.0
718,2019-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 november,82.0
719,2019-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 oktober,70.0
720,2019-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 september,63.0
721,2020-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 april,20.0
722,2020-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 augustus,34.0
723,2020-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 december,28.0
724,2020-02-29,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 februari,54.0
725,2020-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 januari,60.0
726,2020-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 juli,39.0
727,2020-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 juni,35.0
728,2020-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 maart,48.0
729,2020-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 mei,24.0
730,2020-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 november,24.0
731,2020-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 oktober,33.0
732,2020-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 september,52.0
733,2021-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 april,23.0
734,2021-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 augustus,44.0
735,2021-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 december,29.0
736,2021-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 februari,25.0
737,2021-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 januari,22.0
738,2021-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 juli,45.0
