,Wijken en buurten,Soort misdrijf,Afwijking t.o.v. lineaire trend,groeifactor t.o.v. zelfde maand vorig jaar,Aantal deze maand dit jaar,Aantal deze maand vorig jaar
0,Rotterdam (Gemeente),1.1.1 Diefstal/inbraak woning,normale groei,0.775,62.0,80.0
1,Rotterdam (Gemeente),1.1.2 Diefstal/inbraak box/garage/schuur,normale groei,0.6710526315789473,51.0,76.0
2,Rotterdam (Gemeente),1.2.1 Diefstal uit/vanaf motorvoertuigen,normale groei,1.3185483870967742,327.0,248.0
3,Rotterdam (Gemeente),1.2.2 Diefstal van motorvoertuigen,normale groei,0.9264705882352942,63.0,68.0
4,Rotterdam (Gemeente),"1.2.3 Diefstal van brom-, snor-, fietsen",normale groei,1.1636363636363636,448.0,385.0
5,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,extreem hoge groei,2.272727272727273,75.0,33.0
6,Rotterdam (Gemeente),1.2.5 Diefstal af/uit/van ov. voertuigen,normale groei,1.2625,101.0,80.0
7,Rotterdam (Gemeente),1.4.3 Openlijk geweld (persoon),normale groei,1.40625,45.0,32.0
8,Rotterdam (Gemeente),1.4.4 Bedreiging,normale groei,1.188235294117647,202.0,170.0
9,Rotterdam (Gemeente),1.4.5 Mishandeling,extreem hoge groei,1.316017316017316,304.0,231.0
10,Rotterdam (Gemeente),1.4.6 Straatroof,extreem hoge groei,1.5625,25.0,16.0
11,Rotterdam (Gemeente),1.4.7 Overval,normale groei,1.0,4.0,4.0
12,Rotterdam (Gemeente),2.2.1 Vernieling cq. zaakbeschadiging,normale groei,0.8708791208791209,317.0,364.0
13,Rotterdam (Gemeente),2.4.2 Huisvredebreuk,normale groei,1.5,9.0,6.0
14,Rotterdam (Gemeente),2.5.1 Diefstal/inbraak bedrijven enz.,normale groei,1.2,48.0,40.0
15,Rotterdam (Gemeente),2.5.2 Winkeldiefstal,normale groei,1.463855421686747,243.0,166.0
16,Rotterdam (Gemeente),3.1.1 Drugshandel,normale groei,1.1486486486486487,85.0,74.0
17,Rotterdam (Gemeente),3.1.3 Wapenhandel,normale groei,1.0333333333333334,62.0,60.0
18,Rotterdam (Gemeente),3.6.4 Aantasting openbare orde,normale groei,2.025,81.0,40.0
19,Rotterdam (Gemeente),3.7.4 Cybercrime,normale groei,0.8620689655172413,25.0,29.0
20,Rotterdam (Gemeente),3.9.1 Horizontale fraude,normale groei,0.6810126582278481,269.0,395.0
21,Rotterdam (Gemeente),3.9.3 Fraude (overig),normale groei,0.8571428571428571,6.0,7.0
22,Rotterdam (Gemeente),Geluidshinder overig,extreem lage groei,0.585040071237756,657.0,1123.0
23,Rotterdam (Gemeente),Melding overlast jeugd,normale groei,0.6659959758551308,331.0,497.0
24,Rotterdam (Gemeente),Overlast door verward persoon,normale groei,1.1105919003115265,713.0,642.0
25,Rotterdam (Gemeente),Overlast ivm alcohol/ drugs,normale groei,1.107843137254902,339.0,306.0
26,Rotterdam (Gemeente),Overlast zwervers,normale groei,1.4093264248704662,272.0,193.0
27,Rotterdam (Gemeente),Totaal misdrijven,normale groei,1.1273719781648037,4337.0,3847.0
28,Rotterdam (Gemeente),Totaal registraties overlast,normale groei,0.8726114649681529,2466.0,2826.0
29,Rotterdam Centrum (Gebied),1.1.1 Diefstal/inbraak woning,extreem lage groei,0.07692307692307693,1.0,13.0
30,Rotterdam Centrum (Gebied),1.2.1 Diefstal uit/vanaf motorvoertuigen,normale groei,1.3214285714285714,37.0,28.0
31,Rotterdam Centrum (Gebied),"1.2.3 Diefstal van brom-, snor-, fietsen",normale groei,1.7564102564102564,137.0,78.0
32,Rotterdam Centrum (Gebied),1.2.4 Zakkenrollerij,extreem hoge groei,3.125,50.0,16.0
33,Rotterdam Centrum (Gebied),1.2.5 Diefstal af/uit/van ov. voertuigen,normale groei,1.8888888888888888,17.0,9.0
34,Rotterdam Centrum (Gebied),1.4.4 Bedreiging,normale groei,1.3478260869565217,31.0,23.0
35,Rotterdam Centrum (Gebied),1.4.5 Mishandeling,extreem hoge groei,2.92,73.0,25.0
36,Rotterdam Centrum (Gebied),2.2.1 Vernieling cq. zaakbeschadiging,normale groei,1.3611111111111112,49.0,36.0
37,Rotterdam Centrum (Gebied),2.5.1 Diefstal/inbraak bedrijven enz.,normale groei,1.5833333333333333,19.0,12.0
38,Rotterdam Centrum (Gebied),2.5.2 Winkeldiefstal,normale groei,2.3333333333333335,77.0,33.0
39,Rotterdam Centrum (Gebied),3.1.1 Drugshandel,normale groei,0.7777777777777778,7.0,9.0
40,Rotterdam Centrum (Gebied),3.1.3 Wapenhandel,normale groei,0.9047619047619048,19.0,21.0
41,Rotterdam Centrum (Gebied),3.6.4 Aantasting openbare orde,normale groei,2.5625,41.0,16.0
42,Rotterdam Centrum (Gebied),3.9.1 Horizontale fraude,normale groei,1.1176470588235294,38.0,34.0
43,Rotterdam Centrum (Gebied),Geluidshinder overig,normale groei,0.47115384615384615,49.0,104.0
44,Rotterdam Centrum (Gebied),Melding overlast jeugd,normale groei,0.6511627906976745,28.0,43.0
45,Rotterdam Centrum (Gebied),Overlast door verward persoon,normale groei,1.5,81.0,54.0
46,Rotterdam Centrum (Gebied),Overlast ivm alcohol/ drugs,normale groei,0.9302325581395349,40.0,43.0
47,Rotterdam Centrum (Gebied),Overlast zwervers,normale groei,1.3880597014925373,93.0,67.0
48,Rotterdam Centrum (Gebied),Totaal misdrijven,extreem hoge groei,1.7382297551789077,923.0,531.0
49,Rotterdam Centrum (Gebied),Totaal registraties overlast,normale groei,1.089020771513353,367.0,337.0
50,Delfshaven (Gebied),1.1.1 Diefstal/inbraak woning,normale groei,0.875,7.0,8.0
51,Delfshaven (Gebied),1.2.1 Diefstal uit/vanaf motorvoertuigen,normale groei,1.5555555555555556,28.0,18.0
52,Delfshaven (Gebied),1.2.2 Diefstal van motorvoertuigen,normale groei,1.25,10.0,8.0
53,Delfshaven (Gebied),"1.2.3 Diefstal van brom-, snor-, fietsen",extreem hoge groei,1.7714285714285714,62.0,35.0
54,Delfshaven (Gebied),1.2.5 Diefstal af/uit/van ov. voertuigen,normale groei,2.6666666666666665,16.0,6.0
55,Delfshaven (Gebied),1.4.4 Bedreiging,normale groei,1.1071428571428572,31.0,28.0
56,Delfshaven (Gebied),1.4.5 Mishandeling,normale groei,1.0606060606060606,35.0,33.0
57,Delfshaven (Gebied),2.2.1 Vernieling cq. zaakbeschadiging,normale groei,0.8,40.0,50.0
58,Delfshaven (Gebied),2.5.1 Diefstal/inbraak bedrijven enz.,normale groei,2.0,4.0,2.0
59,Delfshaven (Gebied),2.5.2 Winkeldiefstal,normale groei,1.4210526315789473,27.0,19.0
60,Delfshaven (Gebied),3.1.1 Drugshandel,normale groei,2.0,10.0,5.0
61,Delfshaven (Gebied),3.1.3 Wapenhandel,normale groei,1.6666666666666667,5.0,3.0
62,Delfshaven (Gebied),3.9.1 Horizontale fraude,normale groei,0.8235294117647058,28.0,34.0
63,Delfshaven (Gebied),Geluidshinder overig,extreem lage groei,0.5524475524475524,79.0,143.0
64,Delfshaven (Gebied),Melding overlast jeugd,normale groei,0.6607142857142857,37.0,56.0
65,Delfshaven (Gebied),Overlast door verward persoon,normale groei,1.5555555555555556,70.0,45.0
66,Delfshaven (Gebied),Overlast ivm alcohol/ drugs,normale groei,1.125,45.0,40.0
67,Delfshaven (Gebied),Overlast zwervers,normale groei,1.68,42.0,25.0
68,Delfshaven (Gebied),Totaal misdrijven,normale groei,1.2058111380145278,498.0,413.0
69,Delfshaven (Gebied),Totaal registraties overlast,normale groei,0.9161490683229814,295.0,322.0
70,Overschie (Gebied),1.2.1 Diefstal uit/vanaf motorvoertuigen,normale groei,0.5294117647058824,9.0,17.0
71,Overschie (Gebied),2.2.1 Vernieling cq. zaakbeschadiging,extreem hoge groei,4.5,9.0,2.0
72,Overschie (Gebied),Geluidshinder overig,normale groei,0.52,13.0,25.0
73,Overschie (Gebied),Overlast door verward persoon,normale groei,1.4705882352941178,25.0,17.0
74,Overschie (Gebied),Totaal misdrijven,normale groei,1.1408450704225352,81.0,71.0
75,Overschie (Gebied),Totaal registraties overlast,normale groei,1.0727272727272728,59.0,55.0
76,Noord (Gebied),1.1.1 Diefstal/inbraak woning,normale groei,2.0,6.0,3.0
77,Noord (Gebied),1.2.1 Diefstal uit/vanaf motorvoertuigen,normale groei,1.3,26.0,20.0
78,Noord (Gebied),"1.2.3 Diefstal van brom-, snor-, fietsen",normale groei,1.1333333333333333,51.0,45.0
79,Noord (Gebied),1.4.4 Bedreiging,normale groei,0.7647058823529411,13.0,17.0
80,Noord (Gebied),1.4.5 Mishandeling,normale groei,0.75,9.0,12.0
81,Noord (Gebied),2.2.1 Vernieling cq. zaakbeschadiging,normale groei,0.88,22.0,25.0
82,Noord (Gebied),2.5.2 Winkeldiefstal,normale groei,1.0714285714285714,15.0,14.0
83,Noord (Gebied),3.9.1 Horizontale fraude,normale groei,0.6666666666666666,18.0,27.0
84,Noord (Gebied),Geluidshinder overig,normale groei,0.5494505494505495,50.0,91.0
85,Noord (Gebied),Melding overlast jeugd,normale groei,0.8846153846153846,23.0,26.0
86,Noord (Gebied),Overlast door verward persoon,normale groei,1.457142857142857,51.0,35.0
87,Noord (Gebied),Totaal misdrijven,normale groei,1.1304347826086956,312.0,276.0
88,Noord (Gebied),Totaal registraties overlast,normale groei,1.0738916256157636,218.0,203.0
89,Hillegersberg-Schiebroek (Gebied),1.1.1 Diefstal/inbraak woning,normale groei,0.8333333333333334,5.0,6.0
90,Hillegersberg-Schiebroek (Gebied),1.2.1 Diefstal uit/vanaf motorvoertuigen,normale groei,0.8823529411764706,15.0,17.0
91,Hillegersberg-Schiebroek (Gebied),1.2.2 Diefstal van motorvoertuigen,normale groei,1.3333333333333333,4.0,3.0
92,Hillegersberg-Schiebroek (Gebied),"1.2.3 Diefstal van brom-, snor-, fietsen",normale groei,0.75,15.0,20.0
93,Hillegersberg-Schiebroek (Gebied),1.4.4 Bedreiging,extreem hoge groei,3.3333333333333335,10.0,3.0
94,Hillegersberg-Schiebroek (Gebied),1.4.5 Mishandeling,normale groei,0.6666666666666666,6.0,9.0
95,Hillegersberg-Schiebroek (Gebied),2.2.1 Vernieling cq. zaakbeschadiging,normale groei,0.6111111111111112,11.0,18.0
96,Hillegersberg-Schiebroek (Gebied),Geluidshinder overig,normale groei,0.9523809523809523,60.0,63.0
97,Hillegersberg-Schiebroek (Gebied),Melding overlast jeugd,normale groei,0.59375,38.0,64.0
98,Hillegersberg-Schiebroek (Gebied),Overlast door verward persoon,normale groei,1.5757575757575757,52.0,33.0
99,Hillegersberg-Schiebroek (Gebied),Totaal misdrijven,normale groei,0.9754601226993865,159.0,163.0
100,Hillegersberg-Schiebroek (Gebied),Totaal registraties overlast,normale groei,0.9473684210526315,180.0,190.0
101,Kralingen-Crooswijk (Gebied),1.1.1 Diefstal/inbraak woning,normale groei,1.25,5.0,4.0
102,Kralingen-Crooswijk (Gebied),1.1.2 Diefstal/inbraak box/garage/schuur,normale groei,0.4,4.0,10.0
